,상품명,주종,도수,용량,원재료,가격수정,ml당_가격
0,1000억 막걸리 프리바이오,탁주,5.0,750,쌀,3500,4.67
1,1000억 유산균막걸리,탁주,5.0,750,쌀,3200,4.27
2,1932 새싹땅콩 햅쌀막걸리,살균탁주,6.0,900,쌀,15000,16.67
3,1932 새싹땅콩 흑미막걸리,살균탁주,6.0,900,쌀,15000,16.67
4,33JU,일반증류주,18.0,500,"산양산삼,주정,결정과당,효소처리스테비아,에리스리톨,호박산,꿀",49000,98.0
5,52C,일반증류주,17.5,500,"정제수,주정,쌀증류식소주원액,오이",10000,20.0
6,G12 골디락스,탁주,12.0,500,"정제수,멥쌀",12000,24.0
7,The 찾을수록 시리즈,과실주,14.0,360,"사과와인,정제수,정제주정외제품별농축액",9000,25.0
8,가덕 순쌀 막걸리,탁주,6.0,750,"국내산쌀,효모,조효소재,물엿,아스파탐,정제수",13500,18.0
9,가을빛 레드와인,과실주,14.0,750,포도,35000,46.67
10,가평 잣 막걸리,탁주,6.0,750,"쌀,정제수,쌀입국,잣,효모,정제효소등",1450,1.93
11,감 보드카,일반증류주,32.0,375,감,14000,37.33
12,감그린 레귤러,과실주,12.0,750,감,18000,24.0
13,감그린 스페셜,과실주,12.0,750,감,25000,33.33
14,감그린 아이스와인,과실주,10.0,375,감,89000,237.33
15,감사,약주,14.0,375,쌀,15000,40.0
16,감아락 25도,일반증류주,25.0,500,"감증류원액,쌀",26000,52.0
17,감악산 머루주,과실주,12.0,360,"국내산산머루원액,주정",28000,77.78
18,감이슬,일반증류주,23.0,375,감,10000,26.67
19,감자술 13%,약주,13.0,700,백미,14000,20.0
20,감홍로 백자,일반증류주,40.0,700,쌀,75000,107.14
21,감홍로 청자,일반증류주,40.0,700,쌀,90000,128.57
22,강소주,일반증류주,50.0,200,"국내산쌀,정제수",11000,55.0
23,강쇠,살균약주,13.0,370,"쌀,누룩,오가피",2500,6.76
24,걍즐겨,탁주,8.0,600,찹쌀,6000,10.0
25,겨울소주 25,증류식소주,25.0,360,증류원액,10000,27.78
26,경기전,기타주류,5.0,1000,보리,27000,27.0
27,계룡백일주 12년,리큐르,40.0,600,"찹쌀,백미,누룩,재리종국화꽃,오미자,진달래,재래종솔잎",150000,250.0
28,계룡백일주 16도,약주,16.0,700,"찹쌀,백미,누룩,재리종국화꽃,오미자,진달래,재래종솔잎",37000,52.86
29,계룡백일주 30도,리큐르,30.0,400,"찹쌀,백미,누룩,재리종국화꽃,오미자,진달래,재래종솔잎",40000,100.0
30,계룡백일주 40도,리큐르,40.0,600,"찹쌀,백미,누룩,재리종국화꽃,오미자,진달래,재래종솔잎",80000,133.33
31,계룡산 산삼주 금수강산 21%,일반증류주,21.0,740,"산양산삼,정제주,주정",110000,148.65
32,계룡산 산삼주 금수강산 40%,일반증류주,40.0,740,"산양산삼,정제주,주정",150000,202.7
33,고도리 레드와인 스위트,과실주,12.0,750,머루포도,22000,29.33
34,고도리 복숭아와인,과실주,6.5,750,복숭아,32000,42.67
35,고도리 화이트와인 드라이,과실주,10.5,750,거봉포도,22000,29.33
36,고도리 화이트와인 스위트,과실주,10.5,750,거봉포도,22000,29.33
37,고소리 술 700ml,증류식소주,40.0,700,"쌀,차조,입국,누룩,효모,효소,정제수,스테비올배당체",45000,64.29
38,고소리 술 375ml,증류식소주,40.0,375,"쌀,차조,입국,누룩,효모,효소,정제수,스테비올배당체",25000,66.67
39,고운달 백자,일반증류주,52.0,500,오미자,360000,720.0
40,고운달 오크,일반증류주,52.0,500,오미자,360000,720.0
41,고창복분자주1800ml,과실주,15.0,1800,"복분자과실,주정,효모,구연산,정제수",27000,15.0
42,고창복분자주300ml,과실주,13.0,300,"복분자과실,주정,효모,구연산,정제수",50000,166.67
