,상품명,주종,도수,용량,원재료,가격수정,ml당_가격,맛,바디감,향,목넘김,신맛,청량감,단맛,균형감
89,다랭이팜 유자 막걸리,탁주,6.0,750,"남해산유기농유자원액,누룩,효모등",4000,5.33,,,,,5.0,2.0,1.0,
90,담솔 40%,리큐르,40.0,500,"정제수,국내산쌀,국내산송순농축액",22000,44.0,,,,,1.0,3.0,3.0,
91,담양죽력고,일반증류주,25.0,350,"정제수,쌀",13000,37.14,,3.0,4.0,3.0,,,,
92,담은,살균탁주,6.0,750,쌀,15000,20.0,,,,,1.0,1.0,3.0,
93,당당하리,과실주,15.0,375,쌀,16000,42.67,,2.0,,,2.0,2.0,4.0,
94,대관령 복분자주,과실주,16.0,400,국내산복분자,13000,32.5,,,,,2.0,1.0,1.0,
95,대대포 생막걸리,탁주,6.0,750,백미,3500,4.67,,2.0,,,1.0,3.0,2.0,
96,대윤 가야곡 왕주,약주,13.0,300,"쌀,누룩,효모,물엿,정제수",4000,13.33,,,,,2.0,1.0,2.0,
97,대잎 생동동주,탁주,6.0,1700,쌀,2500,1.47,,2.0,,,2.0,3.0,1.0,
98,대작 생막걸리,탁주,6.0,750,쌀,2000,2.67,,3.0,,,3.0,3.0,4.0,
99,대통대잎술 십오야,약주,15.0,700,"쌀,누룩,갈근,구기자,솔잎,진피등",16000,22.86,,2.0,,,1.0,,1.0,
100,도구 막걸리,탁주,6.0,750,밀,15000,20.0,,3.0,,,2.0,3.0,2.0,
101,도깨비술 11%,탁주,11.0,750,멥쌀,12000,16.0,,5.0,,,4.0,3.0,4.0,
102,도깨비술 7%,탁주,7.0,750,멥쌀,8000,10.67,,3.0,,,3.0,4.0,3.0,
103,도깨비술 9%,탁주,9.0,750,멥쌀,10000,13.33,,4.0,,,3.0,3.0,3.0,
104,도로시 머루주,과실주,12.0,500,"국내산산머루원액,주정",25000,50.0,,3.0,,,4.0,3.0,4.0,
105,도문대작 생막걸리,탁주,10.0,750,"강릉쌀,누룩,갯방풍나물,정제수",3000,4.0,,2.0,,,3.0,3.0,1.0,
106,독산 53,증류식소주,53.0,250,쌀,25000,100.0,,4.0,2.0,5.0,,,,
107,동강더덕주,리큐르,20.0,360,"더덕,대추구기자,감초,원지",3500,9.72,3.0,2.0,3.0,,,,,
108,동몽,약주,17.0,500,"홍천쌀,정제수,단호박,국",30000,60.0,,,,,3.0,1.0,2.0,
109,동정춘,탁주,8.0,500,"쌀,누국,정제수",18000,36.0,,3.0,,,3.0,2.0,4.0,
110,동학 1957,청주,13.0,375,쌀,7200,19.2,,3.0,,,3.0,2.0,3.0,
111,동해 동동주,탁주,6.0,750,쌀,15000,20.0,,2.0,,,1.0,3.0,2.0,
112,두레앙 22,일반증류주,22.0,375,거봉포도원액,5000,13.33,,4.0,1.0,2.0,,,,
113,두레앙 와인,과실주,12.0,750,거봉포도원액,15000,20.0,,,,,2.0,1.0,2.0,
114,두레앙 증류주,일반증류주,35.0,750,거봉포도원액,35000,46.67,2.0,2.0,2.0,,,,,
115,두리향,증류식소주,43.0,500,"국내산찹쌀,누룩,정제수",36000,72.0,,4.0,3.0,3.0,,,,
116,두유노,탁주,6.0,600,찹쌀,6000,10.0,,3.0,,,3.0,3.0,2.0,
117,라이스퐁당 13,약주,13.0,500,찹쌀,15000,30.0,,3.0,,,2.0,1.0,3.0,
118,라이스퐁당 17,약주,17.0,500,찹쌀,18000,36.0,,4.0,,,3.0,1.0,3.0,
119,레돔 내추럴 스파클링 로제와인,과실주,7.5,750,포도,38000,50.67,,2.0,,,3.0,4.0,3.0,
120,레돔 시드르,과실주,6.0,750,사과,32000,42.67,,2.0,,,3.0,4.0,3.0,
121,려(驪)고구마증류소주 25도,증류식소주,25.0,500,고구마,35000,70.0,,3.0,2.0,1.0,,,,
122,려(驪)고구마증류소주 40도,증류식소주,40.0,500,고구마,35000,70.0,,3.0,2.0,2.0,,,,
123,려(驪)증류소주 25도,증류식소주,25.0,375,고구마,30000,80.0,,1.0,3.0,1.0,,,,
124,로얄 안동소주 18년,증류식소주,45.0,600,"국내산쌀,입국",72000,120.0,3.0,4.0,1.0,,,,,
125,르깔롱,리큐르,16.0,500,"정제수,주정,고과당,죽력,메론후레바,레이지라임,코코넛향,윌튼스카이아이싱칼라",35000,70.0,,4.0,4.0,4.0,,,,
126,마셔블랑,일반증류주,12.0,750,감귤과즙,20000,26.67,,2.0,,,3.0,3.0,3.0,
127,마주 소화곡주,일반증류주,41.0,500,"찹쌀(국내산), 백미(국내산), 모싯잎, 우리밀 누룩, 정제수, 홍고추",25000,50.0,,4.0,3.0,3.0,,,,
128,마주 소곡주,약주,16.0,500,찹쌀,17000,34.0,,4.0,,,3.0,2.0,4.0,
129,막시모40,일반증류주,40.0,500,오미자,49000,98.0,,3.0,4.0,3.0,,,,
130,만강에 비친 달,탁주,10.0,500,"홍천쌀,정제수,단호박,곡자",12000,24.0,,,,,3.0,3.0,2.0,
131,맑은 문희주,약주,13.0,750,유기농찹쌀,36000,48.0,,,,,1.0,1.0,3.0,
132,맑은내일 Winery 단감명작,과실주,7.0,750,단감,20000,26.67,,2.0,,,2.0,3.0,3.0,
133,맑은내일 발효막걸리,탁주,7.0,750,쌀,6500,8.67,,4.0,,,3.0,3.0,3.0,
134,맑은내일 우포,살균약주,12.0,325,쌀,7000,21.54,,2.0,,,2.0,2.0,3.0,
135,맑은술 해밀,약주,15.0,500,"쌀,누룩,정제수",25000,50.0,,2.0,,,2.0,2.0,3.0,
136,매실 막걸리,살균탁주,7.0,750,"쌀,매실과즙",3500,4.67,,,,,2.0,1.0,3.0,
137,매실원주 15도,리큐르,15.0,300,"매실주원액,발효주정,정제수,꿀",6000,20.0,3.0,3.0,2.0,,,,,
138,매실향기 담은 술,약주,14.0,500,"국내산쌀,효모,조효소재,물엿,아스파탐,정제수",6000,12.0,,3.0,,,3.0,3.0,3.0,
139,머루 이야기,과실주,12.0,375,국내산산머루,6000,16.0,,,,,1.0,1.0,3.0,
140,머르드 서 드라이,과실주,13.5,750,국내산산머루,35000,46.67,,4.0,,,4.0,3.0,2.0,
141,머르드 서 스위트,과실주,12.0,750,국내산산머루,30000,40.0,,4.0,,,3.0,3.0,4.0,
142,메로니아,기타주류,4.0,750,"쌀,국,효모,젖산,멜론향,물엿등",2000,2.67,,,,,1.0,5.0,4.0,
143,메밀로,일반증류주,45.0,500,"국내산쌀,메밀,누룩,정제수",150000,300.0,,4.0,3.0,3.0,,,,
144,면천두견주 360ml,약주,18.0,360,"국내산찹쌀,누룩,진달래꽃",32000,88.89,,3.0,,,1.0,1.0,3.0,
145,면천두견주 700ml,약주,18.0,700,"국내산찹쌀,누룩,진달래꽃",30000,42.86,,3.0,,,1.0,1.0,3.0,
146,면천두견주 900ml,약주,18.0,900,"국내산찹쌀,누룩,진달래꽃",120000,133.33,,3.0,,,1.0,1.0,3.0,
147,명술,리큐르,20.0,375,"산양산삼,정제주,주정",30000,80.0,2.0,3.0,2.0,,,,,
148,명인 홍삼주,약주,12.5,375,"쌀,홍삼,누룩,정제수등",12000,32.0,,,,,3.0,2.0,1.0,
149,명작복분자,과실주,13.0,375,"복분자,효모,주정,정제수,과당,구연산",78000,208.0,,,,,1.0,1.0,3.0,
150,명품 진도홍주,일반증류주,38.0,375,"쌀,보리,누룩,지초,정제수",20000,53.33,3.0,3.0,3.0,,,,,
151,모월 로,증류식소주,25.0,500,쌀,25000,50.0,,2.0,3.0,2.0,,,,
152,모월 연,약주,13.0,500,쌀,18000,36.0,,2.0,,,3.0,2.0,1.0,
153,모월 인,증류식소주,41.0,500,쌀,40000,80.0,,3.0,4.0,3.0,,,,
154,모월 청,약주,16.0,500,쌀,21000,42.0,,3.0,,,3.0,2.0,1.0,
155,모을동주 소주,증류식소주,43.0,350,쌀,15000,42.86,,4.0,3.0,4.0,,,,
156,모을동주 약주,약주,13.0,375,쌀,13000,34.67,,4.0,,,3.0,3.0,4.0,
157,무주 구천동 머루와인,과실주,12.0,750,국내산산머루,25000,33.33,,,,,2.0,1.0,2.0,
158,무주 구천동 산머루주,과실주,16.0,750,국내산산머루,15000,20.0,,,,,2.0,1.0,2.0,
159,문경바람 백자 25%,일반증류주,25.0,750,사과,30000,40.0,,3.0,3.0,4.0,,,,
160,문경바람 백자 40%,일반증류주,40.0,750,사과,40000,53.33,,4.0,3.0,4.0,,,,
161,문경바람 오크,일반증류주,40.0,750,사과,44000,58.67,,4.0,4.0,4.0,,,,
162,문배술 헤리티지 23도,증류식소주,23.0,375,"메조,찰수수,쌀",50000,133.33,1.0,1.0,2.0,,,,,
163,문희 '문경오미자 수제 전통주',살균탁주,12.0,700,햇찹쌀,21000,30.0,,,,,1.0,3.0,3.0,
164,문희 (햇찹쌀수제전통주) 700ml ,살균탁주,13.0,700,유기농찹쌀,18000,25.71,,,,,1.0,2.0,3.0,
165,문희 (햇찹쌀수제전통주) 500ml ,살균탁주,13.0,500,유기농찹쌀,15000,30.0,,,,,1.0,2.0,3.0,
166,미르25,증류식소주,25.0,375,쌀,18000,48.0,,,,,1.0,1.0,2.0,
167,미르40,증류식소주,40.0,375,쌀,23000,61.33,,,,,1.0,1.0,1.0,
168,미생 막걸리,탁주,6.0,750,"국내산쌀,누룩,효모,정제효소,정제수",1100,1.47,,3.0,,,3.0,3.0,2.0,
169,미소 생막걸리,탁주,7.0,750,쌀,1500,2.0,,2.0,,,3.0,3.0,3.0,
170,미소 아이스,과실주,12.0,375,"포도,산화방지제,효모등",40000,106.67,,3.0,,,1.0,,4.0,
171,미인약주,약주,15.0,500,"찹쌀,누룩,정제수",25000,50.0,,2.0,,,1.0,1.0,4.0,
172,미인탁주,탁주,10.0,500,"찹쌀,누룩,정제수",15000,30.0,,3.0,,,1.0,1.0,3.0,
173,민속주 안동소주 600ml,증류식소주,45.0,600,쌀,28000,46.67,1.0,4.0,1.0,,,,,
174,민속주 안동소주 800ml,증류식소주,45.0,800,쌀,33500,41.88,1.0,4.0,1.0,,,,,
175,민속주 안동소주 400ml,증류식소주,45.0,400,쌀,28000,70.0,1.0,4.0,1.0,,,,,
176,바나나 주,기타주류,4.0,750,"쌀,국,정제수,바나나농축액,조제종국,효모,물엿등",1700,2.27,,,,,1.0,3.0,3.0,
177,바랑 탁,탁주,15.0,375,찹쌀,18000,48.0,,4.0,,,2.0,1.0,4.0,
178,밤꽃향기,약주,13.5,375,"국내산쌀,밤,누룩,정제수",4000,10.67,,2.0,,,2.0,2.0,5.0,
179,방문주 약주,약주,15.0,500,"국내산찹쌀,누룩,정제수",7000,14.0,,3.0,,,3.0,3.0,2.0,
180,방문주 탁주,탁주,15.0,500,"국내산찹쌀,누룩,정제수",6000,12.0,,4.0,,,3.0,3.0,2.0,
181,배꽃담은 연 생막걸리,탁주,10.0,720,"국내산쌀,누룩,효모,젖산,연잎,정제수",20000,27.78,,2.0,,,3.0,4.0,3.0,
182,배도가 로아 19 레드,일반증류주,19.0,350,사과,10000,28.57,2.0,2.0,4.0,2.0,,,,
183,배도가 로아 40도 옐로우,일반증류주,40.0,350,쌀,20000,57.14,2.0,3.0,2.0,,,,,
184,백년향,탁주,10.0,500,"국내산쌀,누룩,정제수",33000,66.0,,3.0,,,3.0,2.0,3.0,
185,백련 맑은술,약주,12.0,375,"백미,정제수,물엿,과당,누룩,백련잎,누룩등",7000,18.67,,,,,2.0,1.0,2.0,
186,백련 생막걸리 snow,탁주,6.0,750,"백미,연잎,정제수,종국,효모,아스파탐,물엿등",1600,2.13,,,,,2.0,4.0,2.0,
187,백운 복분자 와인,기타주류,11.0,360,"쌀,토종복분자과즙",7000,19.44,,,,,2.0,1.0,2.0,
188,백운 복분자주,기타주류,13.0,360,"쌀,토종복분자과즙",7000,19.44,,,,,2.0,2.0,3.0,
189,백이주,과실주,35.0,800,쌀,30000,37.5,,3.0,,,2.0,1.0,2.0,
190,백자주,탁주,10.0,500,"국내산찹쌀,멥쌀,잣,누룩,정제수",18000,36.0,,3.0,,,3.0,2.0,3.0,
191,뱅꼬레 레드와인,과실주,12.0,375,양조용포도,25000,66.67,,2.0,,,4.0,2.0,3.0,
192,뱅꼬레 로제와인,과실주,11.5,375,양조용포도,23000,61.33,,2.0,,,3.0,3.0,4.0,
193,뱅꼬레 아이스와인,과실주,12.0,375,양조용포도,90000,240.0,,4.0,,,2.0,2.0,5.0,
194,뱅꼬레 화이트와인,과실주,11.0,375,양조용포도,23000,61.33,,2.0,,,3.0,3.0,4.0,
195,베베마루 캠벨로제 스위트,과실주,10.0,375,포도,20000,53.33,,,,,2.0,1.0,2.0,
196,베베마루 캠벨로제,과실주,12.0,375,포도,20000,53.33,,,,,1.0,1.0,3.0,
197,별바랑,약주,17.5,375,찹쌀,27000,72.0,,4.0,,,2.0,2.0,4.0,
198,병영설성 동동주,탁주,6.0,1700,쌀,2500,1.47,,2.0,,,2.0,3.0,2.0,
199,병영설성 생막걸리,탁주,6.0,750,쌀,3500,4.67,,2.0,,,2.0,2.0,3.0,
200,병영설성사또,일반증류주,40.0,700,쌀,40000,57.14,,3.0,4.0,3.0,,,,
201,병영소주,증류식소주,40.0,700,"정제수,보리증류식소주원액",59400,84.86,,,,,1.0,3.0,3.0,
202,복분자 아락,일반증류주,40.0,500,복분자증류원액,40000,80.0,2.0,3.0,3.0,,,,,
203,복분자음,과실주,12.0,375,복분자,6000,16.0,,,,,2.0,1.0,2.0,
204,복분자주 360,과실주,16.0,360,"복분자,주정,정제수,설탕등",6000,16.67,,2.0,,,3.0,,1.0,
205,복순도가 손 막걸리,탁주,6.5,935,쌀,12000,12.83,,,,,3.0,5.0,2.0,
206,복숭아와인,과실주,12.0,500,복숭아,20000,40.0,,3.0,,,2.0,2.0,3.0,
207,볼빨간막걸리 10,탁주,10.0,500,찹쌀,7000,14.0,,4.0,,,5.0,4.0,1.0,
208,볼빨간막걸리 7,탁주,7.0,500,찹쌀,5000,10.0,,2.0,,,4.0,3.0,1.0,
209,봉하쌀 생막걸리,탁주,6.0,750,쌀,2000,2.67,,2.0,,,2.0,3.0,1.0,
210,부안 참뽕 막걸리,살균탁주,6.0,950,쌀,2000,2.11,,,,,1.0,3.0,2.0,
211,부안 참뽕 와인,과실주,13.0,750,오디,18000,24.0,,,,,2.0,1.0,3.0,
212,부자 10,살균탁주,10.0,375,"쌀,정제수,고과당,효모등",5000,13.33,,,,,1.0,1.0,4.0,
213,불소곡주,리큐르,43.0,700,"찹쌀,누룩,백미,정제수,야국,메주콩,생강,홍고추",30000,42.86,2.0,4.0,3.0,,,,,
214,붉은 원숭이,살균탁주,10.8,375,쌀,7000,18.67,,,,,2.0,2.0,4.0,
215,블루베리 이야기,과실주,12.0,375,"국내산산머루,블루베리",6000,16.0,,,,,1.0,1.0,3.0,
216,사과와인,과실주,12.0,500,사과,20000,40.0,,3.0,,,2.0,2.0,3.0,
217,산내울 복분자주,리큐르,16.0,750,"복분자,설탕,주정,정제수,과당",20000,26.67,,3.0,,,4.0,3.0,4.0,
218,산내울 사과애주,리큐르,16.0,750,"사과,설탕,주정,정제수,과당",14000,18.67,,2.0,,,4.0,3.0,4.0,
219,산내울 오미자주,리큐르,16.0,750,"오미자,설탕,주정,정제수,과당",20000,26.67,,2.0,,,3.0,3.0,2.0,
220,산막 생유 막걸리,탁주,6.0,750,"국내산쌀,소맥분,종국,효모",1200,1.6,,,,,3.0,3.0,1.0,
221,산막대덕주,약주,13.0,600,"국내산쌀,우리밀누룩",20000,33.33,,,,,1.0,1.0,3.0,
222,산정호수 동정춘막걸리,탁주,6.0,720,"국내산쌀,누룩,정제수",20000,27.78,,4.0,,,1.0,4.0,5.0,
223,삼선,탁주,10.0,500,"국내산쌀,누룩,정제수",15000,30.0,,2.0,,,4.0,2.0,1.0,
224,삼양춘 생약주,약주,15.0,500,"강화섬쌀,전통누룩,정제수",20000,40.0,,2.0,,,1.0,1.0,2.0,
225,삼양춘 생탁주,탁주,12.5,500,"강화섬쌀,전통누룩,정제수",12000,24.0,,4.0,,,1.0,1.0,2.0,
226,삼양춘 청주,청주,15.0,500,"강화섬쌀,정제수,백국,황국,전통누룩,토종효모",16800,33.6,,3.0,,,4.0,2.0,3.0,
227,생 청주 막걸리,탁주,6.0,750,"쌀,소맥분,국,조제종국,효모,물엿등",1500,2.0,,,,,1.0,3.0,2.0,
228,샤토미소 랑,과실주,12.0,375,청포도,20000,53.33,,2.0,,,3.0,2.0,4.0,
229,샤토미소 레드 프리미엄 드라이,과실주,13.0,750,포도,40000,53.33,,3.0,,,3.0,2.0,2.0,
230,샤토미소 스위트,과실주,12.0,750,"포도,산화방지제,효모,설탕등",20000,26.67,,3.0,,,1.0,,3.0,
