,상품명,주종,도수,용량,원재료,가격수정,ml당_가격
18,고운달 오크,일반증류주,52,500,오미자,360000,720.0
19,느린마을 막걸리,탁주,6,750,"쌀,국,효모,정제수",2300,3.07
20,담은,살균탁주,6,750,쌀,15000,20.0
21,녹고의눈물_700ml,기타주류,16,500,섬오가피,23000,46.0
22,황진이_375ml,살균약주,12,375,"쌀,오미자,산수유",3500,9.33
23,문경바람 오크,일반증류주,40,750,사과,44000,58.67
24,오메기 맑은술,약주,16,500,"좁쌀,햅쌀,정제수,누룩",25000,50.0
25,톡 쏘는 알밤동동,기타주류,6,350,"쌀,정제수,입국,밤농축액,밤추출물등",1300,3.71
26,이화주,탁주,8,100,쌀,6500,65.0
27,고소리 술,증류식소주,40,375,"쌀,차조,입국,누룩,효모,효소,정제수,스테비올배당체",25000,66.67
28,대통대잎술 십오야,약주,15,700,"쌀,누룩,갈근,구기자,솔잎,진피등",16000,22.86
29,안동소주 일품 21도_350ml,증류식소주,21,350,"국내산쌀,입국",13500,38.57
30,맑은내일 Winery 단감명작,과실주,7,750,단감,20000,26.67
31,월매 쌀막걸리,살균탁주,6,350,"백미,말토올리고당,정제수",1200,3.43
32,한산소곡주,살균약주,18,360,"찹쌀,누룩,백미,정제수,야국,메주콩,생강,홍고추",6500,18.06
33,원매 프리미엄_700ml,리큐르,20,700,"매실주원액,발효주정,정제수,꿀",45000,64.29
34,1000억 막걸리 프리바이오,탁주,5,750,쌀,3500,4.67
35,은자골 생 탁배기,탁주,5,750,"백미,소맥분,정제수,전분당,국,누룩,효소,아스파탐등",1500,2.0
36,담솔 40%,리큐르,40,500,"정제수,국내산쌀,국내산송순농축액",22000,44.0
37,강쇠_370ml,살균약주,13,370,"쌀,누룩,오가피",2500,6.76
38,풍정사계 춘_500ml,약주,15,500,"국내산찹살,향온곡",30000,60.0
39,타미앙스,일반증류주,40,500,"쌀,정제수,누룩,오미자,구기자,상심자,갈근",50000,100.0
40,이화백주,탁주,6,940,"국내산햅쌀,전통누룩,정제수",12000,12.77
41,나루 생막걸리 6%,탁주,6,935,쌀,7000,7.49
42,복순도가 손 막걸리,탁주,6.5,935,쌀,12000,12.83
43,천매_600ml,리큐르,30,600,"매실주원액,발효주정,정제수,꿀",130000,216.67
44,뱅꼬레로제_375ml,과실주,11.5,375,양조용포도,23000,61.33
45,맑은내일 발효막걸리,탁주,7,750,쌀,6500,8.67
46,장수 생 막걸리_750ml,탁주,6,750,백미,1200,1.6
47,명작복분자_375ml,과실주,13,375,"복분자,효모,주정,정제수,과당,구연산",78000,208.0
48,녹파주,약주,15,375,"국내산찹쌀,멥쌀,누룩,정제수",35000,93.33
49,안동소주 일품 40도 골드_500ml,증류식소주,40,500,"국내산쌀,입국",18000,36.0
50,복분자음_375ml,과실주,12,375,복분자,6000,16.0
51,추사백25,일반증류주,25,350,증류원액,12000,34.29
52,밤꽃향기,약주,13.5,375,"국내산쌀,밤,누룩,정제수",4000,10.67
53,고운달 백자,일반증류주,52,500,오미자,360000,720.0
54,옛날 막걸리 古,탁주,7.8,750,"배정제수,쌀",2700,3.6
55,선운산 복분자주,과실주,16,375,복분자,25000,66.67
56,원매_750ml,리큐르,15,750,"매실원주액,매실청,꿀,카라멜,효소처리스테비아,정제수",35000,46.67
57,한산소곡주,살균약주,18,700,"찹쌀,누룩,백미,정제수,야국,메주콩,생강,홍고추",15000,21.43
58,명품 진도홍주_375ml,일반증류주,38,375,"쌀,보리,누룩,지초,정제수",20000,53.33
59,청명주 500,약주,17,500,"국내산찹쌀,누룩,소맥분",23000,46.0
60,The 찾을수록 시리즈,과실주,14,360,"사과와인,정제수,정제주정외제품별농축액",9000,25.0
61,이강주 특7호,리큐르,25,400,"쌀,소맥분,정맥,배,생강,계피,울금,꿀",50000,125.0
62,황금보리소주17,증류식소주,17,375,"보리,누룩,정제수",25000,66.67
63,천비향 오양주 약주,약주,16,500,"국내산쌀,누룩",40000,80.0
64,병영소주,증류식소주,40,700,"정제수,보리증류식소주원액",59400,84.86
65,도깨비술 7%,탁주,7,750,멥쌀,8000,10.67
66,그랑꼬또 로제와인,과실주,12,750,포도,21000,28.0
67,송이주,살균약주,13,375,"국내산쌀,송이농충액,누룩,정제수",12000,32.0
68,구름을 벗삼아,탁주,6,750,"정제수,찹쌀·백미",1500,2.0
69,대대포 생막걸리,탁주,6,750,백미,3500,4.67
70,장홍삼 장수 막걸리_750ml,살균탁주,6,750,"백미,말토올리고당,홍삼분말",2000,2.67
71,동학 1957,청주,13,375,쌀,7200,19.2
72,지란지교 탁주,탁주,13,500,탁주찹쌀,30000,60.0
73,금정산성 막걸리_750ml,탁주,8,750,"백미,밀누룩,정제수,아스파탐",19000,25.33
74,문경바람 백자 40%,일반증류주,40,750,사과,40000,53.33
75,세우리,일반증류주,45,700,"산양삼,하수오,구기자,쌀",250000,357.14
76,내장산 복분자주 지통1호,과실주,16,700,"복분자,주정,정제수,설탕등",18000,25.71
77,문경바람 백자 25%,일반증류주,25,750,사과,30000,40.0
78,황금보리소주25,증류식소주,25,375,"보리,누룩,정제수",42500,113.33
79,부자 10,살균탁주,10,375,"쌀,정제수,고과당,효모등",5000,13.33
80,산막 생유 막걸리_750ml,탁주,6,750,"국내산쌀,소맥분,종국,효모",1200,1.6
81,화주,일반증류주,25,375,"국내산쌀,홍삼농축액,정제수",13000,34.67
82,회곡 생 막걸리,탁주,6,750,"쌀,입국,누룩,아스파탐,효모,정제수,아세설팜칼륨",1300,1.73
83,크라테 레드와인 드라이,과실주,11.5,750,산머루,48000,64.0
84,삼양춘 청주,청주,15,500,"강화섬쌀,정제수,백국,황국,전통누룩,토종효모",16800,33.6
85,지평 생 옛막걸리,탁주,5,1700,"밀,정제수,국,분말종국,효모,정제효소등",2500,1.47
86,양촌 생 막걸리,탁주,6,750,"팽화미,소맥분,정제수,물엿,효소,국등",30000,40.0
87,삼양춘 생탁주,탁주,12.5,500,"강화섬쌀,전통누룩,정제수",12000,24.0
88,동정춘,탁주,8,500,"쌀,누국,정제수",18000,36.0
89,해미읍성 딸기와인,과실주,12,500,해미딸기,20000,40.0
90,도깨비술 11%,탁주,11,750,멥쌀,12000,16.0
91,해창 생 막걸리 12도,탁주,12,900,"햅쌀,찹쌀,물,누룩",10000,11.11
92,줄포 생 막걸리_750ml,탁주,6,750,쌀,1200,1.6
93,려(驪)증류소주 25도,증류식소주,25,375,고구마,30000,80.0
94,매실 막걸리_750ml,살균탁주,7,750,"쌀,매실과즙",3500,4.67
95,선호 생막걸리,탁주,6,750,"국내산쌀,누룩,효모,정제효소,천연감미료,정제수",1700,2.27
96,오미자 생막걸리,살균탁주,6.5,750,"정제수,백미",2500,3.33
97,희양산막걸리 9%,탁주,9,750,쌀,8000,10.67
98,동몽,약주,17,500,"홍천쌀,정제수,단호박,국",30000,60.0
99,무주 구천동 머루와인_750ml,과실주,12,750,국내산산머루,25000,33.33
100,김포약주 PET,살균약주,11,750,"옥수수전분,밀,국,효모,젖산,효소제,정제수",9000,12.0
101,뱅꼬레레드_375ml,과실주,12,375,양조용포도,25000,66.67
102,예천주복 만월24,일반증류주,24,350,복분자,12800,36.57
103,겨울소주 25,증류식소주,25,360,증류원액,10000,27.78
104,창원 생탁주,탁주,6,750,쌀,1000,1.33
105,자희향,탁주,12,500,찹쌀,16000,32.0
106,진도홍주 루비콘_375ml,리큐르,40,375,"쌀,누룩,지초,정제수",10000,26.67
107,소백산 생 막걸리,탁주,6,1700,"쌀,정제수,소맥분,입국,효모등",1980,1.16
108,안동소주 일품 17도_350ml,증류식소주,17,350,"국내산쌀,입국",12000,34.29
109,문배술헤리티지25_375ml,증류식소주,25,375,"메조,찰수수,쌀",55000,146.67
110,안동소주 양반탈_800ml,증류식소주,45,800,쌀,35000,43.75
111,백운 복분자 와인_300ml,기타주류,11,360,"쌀,토종복분자과즙",7000,19.44
112,삼양춘 생약주,약주,15,500,"강화섬쌀,전통누룩,정제수",20000,40.0
113,송화백일주,리큐르,38,500,"쌀,찹쌀,누룩,산수유,오미자,구기자,솔잎,송화가루,꿀",45000,90.0
114,나루 생막걸리 11.5%,탁주,11.5,500,쌀,11000,22.0
115,장수 오미자주,과실주,16.5,360,오미자,5400,15.0
116,해창 생 막걸리 6도,탁주,6,900,"햅쌀,찹쌀,물,누룩",3000,3.33
117,풍정사계 추_500ml,탁주,12,500,"국내산찹살,향온곡",15000,30.0
118,부안 참뽕 막걸리_950ml,살균탁주,6,950,쌀,2000,2.11
119,문희 '햇찹쌀 수제 전통주',살균탁주,13,700,유기농찹쌀,18000,25.71
120,김포특주,약주,15,375,"국내산쌀,효모,정제효소,정제수,프락토올리고당",3000,8.0
121,능이주,살균약주,13,375,"국내산쌀,능이농충액,누룩,정제수",12000,32.0
122,두레앙 22,일반증류주,22,375,거봉포도원액,5000,13.33
123,세종대왕어주 탁주,탁주,13,500,쌀,16900,33.8
124,세종대왕어주 약주,약주,15,500,쌀,25900,51.8
125,안양 동동주,탁주,6,800,쌀,1100,1.38
126,52C,일반증류주,17.50,500,"정제수,주정,쌀증류식소주원액,오이",10000,20.0
127,술취한 원숭이,살균탁주,10.8,375,쌀,7000,18.67
128,지평 생 쌀막걸리,탁주,5,1700,쌀,2700,1.59
129,추사40,일반증류주,40,500,사과,60000,120.0
130,그랑꼬또 청수_750ml,과실주,12,750,포도,60000,80.0
131,풍정사계 동_375ml,증류식소주,42,375,"국내산찹살,향온곡",25000,66.67
132,추사 애플와인_375ml,과실주,12,375,사과,20000,53.33
133,지장수 생막걸리,탁주,6,750,정제수,1300,1.73
134,천지주가 생 막걸리,살균탁주,6,750,"쌀,정제수,국,효모등",1400,1.87
135,김포 막걸리,탁주,6,750,"쌀,누룩,정제수",1200,1.6
136,이상헌 탁주,탁주,19,500,"아산쌀,국",25000,50.0
137,하향주,약주,17,750,"국내산찹쌀,누룩,정제수",45000,60.0
138,진맥소주 40%,증류식소주,40,200,유기농우리밀,49000,245.0
139,소나무와 학_750ml,일반증류주,43,750,쌀,39000,52.0
140,감홍로 백자_700ml,일반증류주,40,700,쌀,75000,107.14
141,문배술 헤리티지 23도_375ml,증류식소주,23,375,"메조,찰수수,쌀",50000,133.33
142,풍정사계 하_500ml,약주,18,500,"국내산찹살,향온곡",35000,70.0
143,문배술 헤리티지 40도_200ml,증류식소주,40,200,"메조,찰수수,쌀",48000,240.0
144,백련 생막걸리 Misty,탁주,7,750,"백미,정제수,물엿,과당,누룩,백련잎,누룩등",3000,4.0
