,상품명,주종,도수,용량,원재료,가격수정,ml당_가격
350,감악산 머루주,과실주,12,360,"국내산산머루원액,주정",28000,77.78
351,천년주,일반증류주,25,375,쌀,15000,40.0
352,오산막걸리,탁주,6,500,쌀,3000,6.0
353,모을동주 소주,증류식소주,43,350,쌀,15000,42.86
354,모을동주 약주,약주,13,375,쌀,13000,34.67
355,시나브로 레드 스위트,과실주,12,750,포도,25000,33.33
356,가덕 순쌀 막걸리,탁주,6,750,"국내산쌀,효모,조효소재,물엿,아스파탐,정제수",13500,18.0
357,샤토미소 영동,일반증류주,40,200,포도,30000,150.0
358,포엠 로제와인,과실주,12,750,포도,35000,46.67
359,매실향기 담은 술,약주,14,500,"국내산쌀,효모,조효소재,물엿,아스파탐,정제수",6000,12.0
360,포엠 화이트와인,과실주,12,750,청포도,35000,46.67
361,하향주 증류주,일반증류주,45,700,"국내산찹쌀,누룩,정제수",70000,100.0
362,시나브로 로제와인,과실주,10,500,포도,30000,60.0
363,샹스프랑보아즈,과실주,13,500,복분자,150000,300.0
364,라이스퐁당 17,약주,17,500,찹쌀,18000,36.0
365,한산소곡주(살균주),살균약주,16,750,"찹쌀,누룩,백미,정제수",12000,16.0
366,솔송주,살균약주,13,375,"정제수,백미",7000,18.67
367,홍삼명주 500ml,기타주류,14,500,"홍삼추출액,효모,정백당,정제수",16000,32.0
368,초선의 꿈 (로제),과실주,12,375,국내산포도,20000,53.33
369,감홍로 청자_700ml,일반증류주,40,700,쌀,90000,128.57
370,지리산 허브잎 술_750ml,살균탁주,6,750,쌀,1500,2.0
371,호담 산양산삼주_375ml,약주,13,375,"산양산삼,정제주,주정",4000,10.67
372,자희향 나비,탁주,8,500,찹쌀,8000,16.0
373,안동소주 호리병_800ml,증류식소주,45,800,쌀,30000,37.5
374,톡 한잔 소주_500ml,증류식소주,30,500,"찰보리,쌀10%",10000,20.0
375,톡 한잔 골드_500ml,리큐르,43,500,"찰보리,쌀10%,민들레분말,볶음보리",49000,98.0
376,미르25,증류식소주,25,375,쌀,18000,48.0
377,소곡화주_500ml,리큐르,41,500,"찹쌀,누룩,백미,정제수",22000,44.0
378,다래와인 3004_375ml,과실주,8,375,참다래,10000,26.67
379,호담_300ml,리큐르,20,300,"산양산삼,정제수,주정",18000,60.0
380,대윤 가야곡 왕주_300ml,약주,13,300,"쌀,누룩,효모,물엿,정제수",4000,13.33
381,주몽 복분자주_375ml,기타주류,16,375,"쌀,복분자",5000,13.33
382,대관령 복분자주_400ml,과실주,16,400,국내산복분자,13000,32.5
383,진심 홍삼주 19도,일반증류주,19,375,"쌀,정제주정,인삼침출액,홍삼농축액,고과당등",3000,8.0
384,설레온_375ml,증류식소주,40,375,"쌀,누룩,효모,정제수",20000,53.33
385,계룡백일주 40도_600ml*2,리큐르,40,600,"찹쌀,백미,누룩,재리종국화꽃,오미자,진달래,재래종솔잎",80000,133.33
386,소양강 생 막걸리,탁주,6,750,"백미,소맥분,정제수,팽화미,아스파탐,물엿,정제수",1200,1.6
387,블루베리 이야기_375ml,과실주,12,375,"국내산산머루,블루베리",6000,16.0
388,왕율주,일반증류주,25,330,"국내산쌀,밤,누룩,정제수",8000,24.24
389,호담 산양산삼 막걸리,탁주,6,750,쌀,16000,21.33
390,술아 막걸리,탁주,8,450,"국내산찹쌀,누룩,정제수",21000,46.67
391,홍삼진심 인삼주 (1set),일반증류주,19,375,"쌀,정제주정,인삼침출액,홍삼농축액,고과당등",7000,18.67
392,술아 순곡주,약주,20,375,"국내산찹쌀,누룩,증류주,정제수",36000,96.0
393,청산녹수 사미인주,탁주,8,750,유기농햅쌀,32000,42.67
394,고도리 레드와인 스위트,과실주,12,750,머루포도,22000,29.33
395,양촌 생 동동주,탁주,10,750,"정제수,백미,효소제,효모등",36000,48.0
396,신례명주,일반증류주,50,750,감귤,99000,132.0
397,감그린 아이스와인,과실주,10,375,감,89000,237.33
398,술아 연화주,약주,15,375,"국내산찹쌀,누룩,건조연화꽃,증류주,정제수",36000,96.0
399,고창선운산 땡큐블루베리주,과실주,13,300,"블루베리과실,주정,효모,구연산,정제수",60000,200.0
