,상품명,맛,바디감,향,목넘김,신맛,청량감,단맛,균형감
465,톡 쏘는 알밤동동,,,,,1.0,3.0,4.0,
466,펀치 쌀 바나나,,,,,1.0,2.0,3.0,
467,편백숲 산소막걸리 딸기스파클링,,3.0,,,2.0,5.0,3.0,
468,편백숲 산소막걸리 순수령,,4.0,,,1.0,1.0,3.0,
469,편백숲 산소막걸리,,3.0,,,3.0,3.0,3.0,
470,평창 머루주,,,,,3.0,1.0,1.0,
471,평창 오디주,,,,,3.0,1.0,1.0,
472,포엠 레드 드라이와인,,4.0,,,3.0,2.0,2.0,
473,포엠 레드 스위트와인,,3.0,,,3.0,3.0,4.0,
474,포엠 로제와인,,3.0,,,3.0,3.0,4.0,
475,포엠 화이트와인,,3.0,,,4.0,4.0,4.0,
476,풍남문,,2.0,,,3.0,4.0,2.0,
477,풍정사계 추(秋),,,,,2.0,1.0,1.0,
478,풍정사계 춘(春),,,,,1.0,1.0,2.0,
479,풍정사계 하(夏),,,,,1.0,1.0,4.0,
480,하향주,,4.0,,,3.0,1.0,3.0,
481,한산소곡주 360ml,,4.0,,,1.0,,3.0,
482,한산소곡주 700ml,,4.0,,,1.0,,3.0,
483,한산소곡주(살균주),,,,,1.0,1.0,4.0,
484,한산소곡주(살균주),,,,,1.0,1.0,4.0,
485,한스오차드 사과와인,,2.0,,,3.0,2.0,4.0,
486,해미읍성 딸기와인,,3.0,,,2.0,1.0,3.0,
487,해미읍성 매실와인,,4.0,,,1.0,2.0,5.0,
488,해미읍성 모과와인,,3.0,,,2.0,2.0,3.0,
489,해미읍성 살구와인,,3.0,,,2.0,2.0,3.0,
490,해창 생 막걸리 12도,,,,,1.0,2.0,1.0,
491,해창 생 막걸리 6도,,,,,1.0,3.0,1.0,
492,해창 생 막걸리 9도,,,,,1.0,2.0,1.0,
493,해파랑,,3.0,,,1.0,1.0,3.0,
494,햇찹쌀이 하늘수,,3.0,,,3.0,3.0,3.0,
495,행운 막걸리,,4.0,,,1.0,1.0,3.0,
496,행운주,,2.0,,,2.0,2.0,2.0,
497,향수 우리밀 막걸리,,5.0,,,3.0,3.0,2.0,
498,허니문와인,,2.0,,,2.0,2.0,4.0,
499,허니비 와인,,,,,1.0,1.0,3.0,
500,호담 산양산삼 막걸리,,1.0,,,3.0,3.0,1.0,
501,호담 산양산삼주,,,,,1.0,1.0,1.0,
502,호땅,,4.0,,,1.0,2.0,3.0,
503,호랑이 생 막걸리,,,,,1.0,2.0,4.0,
504,호모루덴스,,4.0,,,2.0,2.0,1.0,
505,혼디주,,2.0,,,3.0,3.0,4.0,
506,홍삼 인삼주,,,,,1.0,1.0,1.0,
507,홍삼진심 인삼주 (1set),,,,,1.0,1.0,1.0,
508,홍삼진심 인삼주 (2set),,,,,1.0,1.0,1.0,
509,홍삼명주 375ml,,1.0,,,3.0,,1.0,
510,홍삼명주 500ml,,1.0,,,3.0,,1.0,
511,홍천강 탁주,,,,,3.0,2.0,2.0,
512,황진이,,,,,2.0,1.0,3.0,
513,회곡 생 동동주,,,,,2.0,3.0,3.0,
514,회곡 생 막걸리,,,,,2.0,2.0,2.0,
515,희양산막걸리 15%,,5.0,,,4.0,1.0,3.0,
516,희양산막걸리 9%,,3.0,,,3.0,2.0,2.0,
517,G12 골디락스,,3.0,,,2.0,2.0,2.0,3.0
518,신선주 백주,,3.0,,,3.0,1.0,2.0,3.0
519,심플리 애플,4.0,1.0,4.0,2.0,,,,3.0
520,이도 32,2.0,2.0,2.0,3.0,,,,3.0
521,지란지교 탁주,,4.0,,,4.0,1.0,4.0,4.0
522,추사백25,3.0,2.0,4.0,2.0,,,,4.0
