,상품명,맛,바디감,향,목넘김,신맛,청량감,단맛,균형감
116,가을빛 레드와인,,2.0,,,3.0,3.0,2.0,
117,가평 잣 막걸리,,,,,2.0,3.0,2.0,
118,감그린 레귤러,,2.0,,,3.0,3.0,3.0,
119,감그린 스페셜,,3.0,,,3.0,3.0,3.0,
120,감그린 아이스와인,,4.0,,,2.0,2.0,4.0,
121,감사,,2.0,,,2.0,,2.0,
122,감악산 머루주,,3.0,,,4.0,3.0,4.0,
123,감자술 13%,,2.0,,,2.0,3.0,3.0,
124,강쇠,,,,,2.0,1.0,2.0,
125,걍즐겨,,3.0,,,4.0,3.0,3.0,
126,경기전,,2.0,,,3.0,4.0,2.0,
127,계룡백일주 16도,,,,,1.0,1.0,1.0,
128,고도리 레드와인 스위트,,3.0,,,3.0,2.0,3.0,
129,고도리 복숭아와인,,2.0,,,3.0,3.0,4.0,
130,고도리 화이트와인 드라이,,2.0,,,3.0,3.0,2.0,
131,고도리 화이트와인 스위트,,2.0,,,3.0,3.0,4.0,
132,고소리 술 375ml,,,,,1.0,3.0,2.0,
133,고소리 술 700ml,,,,,1.0,3.0,2.0,
134,고창복분자주1800ml,,2.0,,,1.0,3.0,3.0,
135,고창선운산 땡큐블루베리주,,2.0,,,2.0,2.0,2.0,
136,고창복분자주300ml,,2.0,,,1.0,3.0,3.0,
137,공주애 오디와인,,1.0,,,2.0,3.0,3.0,
138,구기홍주 14,,3.0,,,1.0,2.0,3.0,
139,구름을 벗삼아,,,,,3.0,3.0,3.0,
140,그랑꼬또 M56,,,,,3.0,1.0,2.0,
141,그랑꼬또 M5610,,2.0,,,3.0,3.0,4.0,
142,그랑꼬또 레드와인,,2.0,,,3.0,3.0,3.0,
143,그랑꼬또 로제와인,,,,,3.0,1.0,2.0,
144,그랑꼬또 청수,,,,,1.0,3.0,2.0,
145,그랑꼬또 화이트와인,,2.0,,,3.0,3.0,3.0,
146,그랑티 그르 S1974,,,,,3.0,2.0,1.0,
147,그랑티그르CE2002,,3.0,,,2.0,2.0,3.0,
148,그랑티그르M1988,,3.0,,,3.0,2.0,3.0,
149,금산인삼주,,,,,3.0,2.0,1.0,
150,금정산성 막걸리,,,,,3.0,2.0,1.0,
151,기다림 16,,3.0,,,4.0,2.0,2.0,
152,기다림 25,,2.0,,,4.0,2.0,2.0,
153,기다림 34,,3.0,,,3.0,3.0,3.0,
154,기다림 맑은술,,3.0,,,3.0,3.0,4.0,
155,김천과하주 16도,,,,,2.0,1.0,1.0,
156,김포별주,,3.0,,,1.0,1.0,3.0,
157,김포약주 PET,,2.0,,,2.0,1.0,1.0,
158,김포약주 유리병,,2.0,,,2.0,1.0,1.0,
159,김포예주 프리미엄,,4.0,,,1.0,1.0,2.0,
160,김포특주,,2.0,,,4.0,2.0,4.0,
161,까메오 막걸리,,,,,1.0,2.0,3.0,
162,나루 생막걸리 11.5%,,5.0,,,1.0,1.0,4.0,
163,나루 생막걸리 6%,,2.0,,,3.0,2.0,3.0,
164,남산애 레드와인,,2.0,,,3.0,3.0,3.0,
165,남산애 포트와인,,3.0,,,3.0,2.0,3.0,
166,내장산 복분자주 지통1호,,2.0,,,3.0,,1.0,
167,녹파주,,3.0,,,2.0,2.0,3.0,
168,뉴트로,,3.0,,,4.0,4.0,4.0,
169,느린마을 막걸리,,,,,1.0,3.0,3.0,
170,능이주,,2.0,,,3.0,1.0,1.0,
171,니모메,,2.0,,,1.0,1.0,2.0,
172,다래와인 3004,,,,,2.0,1.0,2.0,
173,다래와인 7004D,,,,,4.0,2.0,1.0,
174,다래와인 7004S,,,,,2.0,1.0,2.0,
175,다랭이팜 생 막걸리 (백미),,,,,4.0,4.0,1.0,
176,다랭이팜 생 막걸리 (흑미),,,,,5.0,2.0,1.0,
177,다랭이팜 유자 막걸리,,,,,5.0,2.0,1.0,
178,담솔 40%,,,,,1.0,3.0,3.0,
179,담은,,,,,1.0,1.0,3.0,
180,당당하리,,2.0,,,2.0,2.0,4.0,
181,대관령 복분자주,,,,,2.0,1.0,1.0,
182,대대포 생막걸리,,2.0,,,1.0,3.0,2.0,
183,대윤 가야곡 왕주,,,,,2.0,1.0,2.0,
184,대잎 생동동주,,2.0,,,2.0,3.0,1.0,
185,대작 생막걸리,,3.0,,,3.0,3.0,4.0,
186,대통대잎술 십오야,,2.0,,,1.0,,1.0,
187,도구 막걸리,,3.0,,,2.0,3.0,2.0,
188,도깨비술 11%,,5.0,,,4.0,3.0,4.0,
189,도깨비술 7%,,3.0,,,3.0,4.0,3.0,
190,도깨비술 9%,,4.0,,,3.0,3.0,3.0,
191,도로시 머루주,,3.0,,,4.0,3.0,4.0,
192,도문대작 생막걸리,,2.0,,,3.0,3.0,1.0,
193,동몽,,,,,3.0,1.0,2.0,
194,동정춘,,3.0,,,3.0,2.0,4.0,
195,동학 1957,,3.0,,,3.0,2.0,3.0,
196,동해 동동주,,2.0,,,1.0,3.0,2.0,
197,두레앙 와인,,,,,2.0,1.0,2.0,
198,두유노,,3.0,,,3.0,3.0,2.0,
199,라이스퐁당 13,,3.0,,,2.0,1.0,3.0,
200,라이스퐁당 17,,4.0,,,3.0,1.0,3.0,
201,레돔 내추럴 스파클링 로제와인,,2.0,,,3.0,4.0,3.0,
202,레돔 시드르,,2.0,,,3.0,4.0,3.0,
203,마셔블랑,,2.0,,,3.0,3.0,3.0,
204,마주 소곡주,,4.0,,,3.0,2.0,4.0,
205,만강에 비친 달,,,,,3.0,3.0,2.0,
206,맑은 문희주,,,,,1.0,1.0,3.0,
207,맑은내일 Winery 단감명작,,2.0,,,2.0,3.0,3.0,
208,맑은내일 발효막걸리,,4.0,,,3.0,3.0,3.0,
209,맑은내일 우포,,2.0,,,2.0,2.0,3.0,
210,맑은술 해밀,,2.0,,,2.0,2.0,3.0,
211,매실 막걸리,,,,,2.0,1.0,3.0,
212,매실향기 담은 술,,3.0,,,3.0,3.0,3.0,
213,머루 이야기,,,,,1.0,1.0,3.0,
214,머르드 서 드라이,,4.0,,,4.0,3.0,2.0,
215,머르드 서 스위트,,4.0,,,3.0,3.0,4.0,
216,메로니아,,,,,1.0,5.0,4.0,
217,면천두견주 360ml,,3.0,,,1.0,1.0,3.0,
218,면천두견주 700ml,,3.0,,,1.0,1.0,3.0,
219,면천두견주 900ml,,3.0,,,1.0,1.0,3.0,
220,명인 홍삼주,,,,,3.0,2.0,1.0,
221,명작복분자,,,,,1.0,1.0,3.0,
222,모월 연,,2.0,,,3.0,2.0,1.0,
223,모월 청,,3.0,,,3.0,2.0,1.0,
224,모을동주 약주,,4.0,,,3.0,3.0,4.0,
225,무주 구천동 머루와인,,,,,2.0,1.0,2.0,
226,무주 구천동 산머루주,,,,,2.0,1.0,2.0,
227,문희 '문경오미자 수제 전통주',,,,,1.0,3.0,3.0,
228,문희 (햇찹쌀수제전통주) 500ml ,,,,,1.0,2.0,3.0,
229,문희 (햇찹쌀수제전통주) 700ml ,,,,,1.0,2.0,3.0,
230,미르25,,,,,1.0,1.0,2.0,
231,미르40,,,,,1.0,1.0,1.0,
232,미생 막걸리,,3.0,,,3.0,3.0,2.0,
233,미소 생막걸리,,2.0,,,3.0,3.0,3.0,
234,미소 아이스,,3.0,,,1.0,,4.0,
235,미인약주,,2.0,,,1.0,1.0,4.0,
236,미인탁주,,3.0,,,1.0,1.0,3.0,
237,바나나 주,,,,,1.0,3.0,3.0,
238,바랑 탁,,4.0,,,2.0,1.0,4.0,
239,밤꽃향기,,2.0,,,2.0,2.0,5.0,
240,방문주 약주,,3.0,,,3.0,3.0,2.0,
241,방문주 탁주,,4.0,,,3.0,3.0,2.0,
242,배꽃담은 연 생막걸리,,2.0,,,3.0,4.0,3.0,
243,배도가 로아 19 레드,2.0,2.0,4.0,2.0,,,,
244,백년향,,3.0,,,3.0,2.0,3.0,
245,백련 맑은술,,,,,2.0,1.0,2.0,
246,백련 생막걸리 snow,,,,,2.0,4.0,2.0,
247,백운 복분자 와인,,,,,2.0,1.0,2.0,
248,백운 복분자주,,,,,2.0,2.0,3.0,
249,백이주,,3.0,,,2.0,1.0,2.0,
250,백자주,,3.0,,,3.0,2.0,3.0,
251,뱅꼬레 레드와인,,2.0,,,4.0,2.0,3.0,
252,뱅꼬레 로제와인,,2.0,,,3.0,3.0,4.0,
253,뱅꼬레 아이스와인,,4.0,,,2.0,2.0,5.0,
254,뱅꼬레 화이트와인,,2.0,,,3.0,3.0,4.0,
255,베베마루 캠벨로제 스위트,,,,,2.0,1.0,2.0,
256,베베마루 캠벨로제,,,,,1.0,1.0,3.0,
257,별바랑,,4.0,,,2.0,2.0,4.0,
258,병영설성 동동주,,2.0,,,2.0,3.0,2.0,
259,병영설성 생막걸리,,2.0,,,2.0,2.0,3.0,
260,병영소주,,,,,1.0,3.0,3.0,
261,복분자음,,,,,2.0,1.0,2.0,
262,복분자주 360,,2.0,,,3.0,,1.0,
263,복분자주 360,,3.0,,,1.0,,3.0,
264,복순도가 손 막걸리,,,,,3.0,5.0,2.0,
265,복숭아와인,,3.0,,,2.0,2.0,3.0,
266,볼빨간막걸리 10,,4.0,,,5.0,4.0,1.0,
267,볼빨간막걸리 7,,2.0,,,4.0,3.0,1.0,
268,봉하쌀 생막걸리,,2.0,,,2.0,3.0,1.0,
269,부안 참뽕 막걸리,,,,,1.0,3.0,2.0,
270,부안 참뽕 와인,,,,,2.0,1.0,3.0,
271,부자 10,,,,,1.0,1.0,4.0,
272,붉은 원숭이,,,,,2.0,2.0,4.0,
273,블루베리 이야기,,,,,1.0,1.0,3.0,
274,사과와인,,3.0,,,2.0,2.0,3.0,
275,산내울 복분자주,,3.0,,,4.0,3.0,4.0,
276,산내울 사과애주,,2.0,,,4.0,3.0,4.0,
277,산내울 오미자주,,2.0,,,3.0,3.0,2.0,
278,산막 생유 막걸리,,,,,3.0,3.0,1.0,
279,산막대덕주,,,,,1.0,1.0,3.0,
280,산정호수 동정춘막걸리,,4.0,,,1.0,4.0,5.0,
281,삼선,,2.0,,,4.0,2.0,1.0,
282,삼양춘 생약주,,2.0,,,1.0,1.0,2.0,
283,삼양춘 생탁주,,4.0,,,1.0,1.0,2.0,
284,삼양춘 청주,,3.0,,,4.0,2.0,3.0,
285,생 청주 막걸리,,,,,1.0,3.0,2.0,
286,샤토미소 랑,,2.0,,,3.0,2.0,4.0,
287,샤토미소 레드 프리미엄 드라이,,3.0,,,3.0,2.0,2.0,
288,샤토미소 스위트 로제,,2.0,,,1.0,,3.0,
289,샤토미소 스위트,,3.0,,,1.0,,3.0,
290,샹스프랑보아즈,,2.0,,,3.0,3.0,4.0,
291,서주 16%,,3.0,,,2.0,3.0,3.0,
292,석로주,,4.0,,,1.0,1.0,1.0,
293,석탄주 약주,,3.0,,,3.0,2.0,1.0,
294,석탄주 탁주,,4.0,,,3.0,3.0,2.0,
295,선운산 복분자와인,,2.0,,,4.0,3.0,4.0,
296,선운산 복분자주 프리미엄,,2.0,,,3.0,3.0,4.0,
297,선운산의 아침 복분자막걸리,,2.0,,,4.0,3.0,4.0,
298,선운산의 아침 복분자막걸리,,,,,2.0,1.0,2.0,
299,선호 생막걸리,,3.0,,,3.0,3.0,2.0,
300,설련주,,3.0,,,4.0,2.0,2.0,
301,설성 만월 막걸리(유기농쌀 100%),,,,,3.0,2.0,2.0,
302,설하담,,2.0,,,1.0,4.0,3.0,
303,성포 생막걸리,,3.0,,,3.0,3.0,3.0,
304,세종 알밤주,,,,,1.0,3.0,4.0,
305,세종 오가닉,,1.0,,,3.0,,1.0,
306,세종대왕어주 약주,,3.0,,,1.0,1.0,3.0,
307,세종대왕어주 탁주,,2.0,,,3.0,1.0,3.0,
308,소백산 검은콩 막걸리,,,,,1.0,1.0,3.0,
309,소백산 생 막걸리,,,,,3.0,2.0,2.0,
310,소백산 생 만찬주,,,,,2.0,2.0,2.0,
311,소백산 청 동동주,,,,,1.0,2.0,2.0,
312,소양강 생 막걸리,,,,,3.0,2.0,1.0,
313,솔송주,,3.0,,,1.0,,2.0,
314,송명섭 막걸리,,3.0,,,3.0,3.0,1.0,
315,송이주,,2.0,,,4.0,1.0,1.0,
316,순향주,,2.0,,,2.0,2.0,2.0,
317,술공방 9.0 생막걸리,,3.0,,,2.0,1.0,3.0,
318,술그리다 생탁주,,1.0,,,1.0,1.0,2.0,
319,술아 국화주,,4.0,,,3.0,2.0,4.0,
320,술아 막걸리,,4.0,,,4.0,3.0,3.0,
321,술아 매화주,,4.0,,,3.0,2.0,5.0,
322,술아 순곡주,,5.0,,,3.0,2.0,5.0,
323,술아 연화주,,4.0,,,3.0,2.0,5.0,
324,술예쁘다 생탁주,,2.0,,,3.0,1.0,1.0,
325,술취한 원숭이,,,,,2.0,2.0,4.0,
326,술헤는밤,,3.0,,,4.0,2.0,2.0,
327,스타베리 오디와인,,3.0,,,4.0,3.0,3.0,
328,시나브로 드 글로리아,,2.0,,,3.0,2.0,3.0,
329,시나브로 레드 드라이,,3.0,,,3.0,3.0,2.0,
330,시나브로 레드 스위트,,2.0,,,3.0,3.0,3.0,
331,시나브로 로제와인,,3.0,,,3.0,3.0,3.0,
332,시나브로 에뚜왈 로제 스파클링,,2.0,,,3.0,4.0,2.0,
333,시나브로 에뚜왈 스파클링와인,,2.0,,,3.0,4.0,3.0,
334,시나브로 화이트와인,,3.0,,,4.0,4.0,4.0,
335,시인의 마을 우리쌀 막걸리,,4.0,,,3.0,3.0,2.0,
336,신선주 약주,,3.0,,,3.0,,3.0,3.0
337,신선주 증류주,4.0,3.0,4.0,2.0,,,,
338,신선주,,,,,3.0,2.0,3.0,
339,아이싱 자몽,,,,,1.0,1.0,3.0,
340,아이원 막걸리,,2.0,,,3.0,3.0,3.0,
341,안성마춤 생막걸리,,2.0,,,2.0,3.0,3.0,
342,안양 동동주,,3.0,,,3.0,3.0,3.0,
343,애석,,2.0,,,1.0,2.0,2.0,
344,애피소드 상그리아,,2.0,,,4.0,4.0,4.0,
345,애피소드 애플,,2.0,,,4.0,4.0,4.0,
346,애피소드 호프,,2.0,,,4.0,4.0,4.0,
347,야관문 쌀 막걸리,,,,,3.0,2.0,1.0,
348,양촌 생 동동주,,,,,1.0,2.0,3.0,
349,양촌 생 막걸리,,,,,3.0,2.0,2.0,
350,여포의 꿈 (화이트),,2.0,,,2.0,,1.0,
351,여포의 꿈 레드 (Dry),,2.0,,,2.0,,2.0,
352,여포의 꿈 레드(SWEET),,3.0,,,1.0,,4.0,
