,상품명,keyword
411,청송 얼음골 동동주,"['#막걸리', '#대표']"
412,청송 주왕 사과막걸리,"['#막걸리', '#사과', '#대표']"
413,청양 둔송 구기주,"['#둔송', '#구기주', '#청양', '#술을']"
414,청진주,"['#있는', '#전통주', '#청진', '#술이']"
415,청춘,"['#청주', '#한국', '#일본', '#어머니', '#약주']"
416,초선의 꿈 (로제),"['#와인', '#한국', '#꿈이']"
417,추사 로제,"['#사과', '#추사', '#와인', '#예산']"
418,추사 애플와인,"['#추사', '#사과', '#와인', '#예산사과와']"
419,추사40,"['#사과', '#추사', '#숙성', '#예산']"
420,추사백25,"['#증류', '#사과']"
421,추사블루,"['#추사', '#와인', '#사과', '#예산']"
422,추성주,['#추성주']
423,추시와인,['#추시']
424,충주 백주,"['#술을', '#증류주']"
425,컨츄리 산머루 와인 (드라이),"['#컨츄리', '#와인', '#와이너리', '#포도']"
426,컨츄리 산머루 와인 (스위트),"['#컨츄리', '#와인', '#와이너리', '#포도']"
427,컨츄리캠벨 (스위트),"['#와인', '#컨츄리', '#와이너리', '#포도']"
428,"코이버펑크, 머스캣 베일리 에이","['#와인', '#에이', '#한국']"
429,"코이버펑크, 샤르도네 세미용 블렌드","['#와인', '#한국', '#샤르']"
430,쿨샷7.5,"['#복분자', '#고창']"
431,크라테 레드와인 드라이,"['#수상', '#한국와인', '#산머루', '#포도']"
432,크라테 레드와인 스위트,"['#수상', '#한국와인', '#산머루', '#포도']"
433,크라테 로제와인,"['#수상', '#한국와인', '#산머루', '#포도']"
434,타미앙스,['#대나무']
435,톡 쏘는 복분자 막걸리,"['#막걸리', '#복분자', '#우리술']"
436,톡 쏘는 알밤동동,"['#막걸리', '#가평', '#우리술']"
437,톡 한잔 골드,"['#소주', '#골드', '#보리', '#민들레', '#찰보리', '#증류']"
438,톡 한잔 소주,"['#소주', '#보리로', '#증류']"
439,티나,"['#죽력', '#양조장', '#있는', '#전통주', '#술이', '#대나무', '#추성']"
440,펀치 쌀 바나나,"['#제품이다', '#있는', '#막걸리', '#전통주', '#제조', '#바나나']"
441,편백숲 산소막걸리,"['#청산녹수', '#산소']"
442,편백숲 산소막걸리 딸기스파클링,"['#딸기', '#스파클링', '#청산녹수', '#막걸리', '#산소']"
443,편백숲 산소막걸리 순수령,"['#막걸리', '#청산녹수', '#산소']"
444,평창 오디주,"['#과실주', '#오디']"
445,평창 머루주,"['#과실주', '#산머루', '#머루']"
446,포엠 레드 드라이와인,"['#포도', '#와인', '#수상', '#한국와', '#영동']"
447,포엠 레드 스위트와인,"['#와인', '#수상', '#포도', '#스위트', '#한국와', '#영동']"
448,포엠 로제와인,"['#포도', '#와인', '#수상', '#한국', '#영동']"
449,포엠 화이트와인,"['#포도', '#와인', '#수상', '#한국와', '#영동']"
450,풍남문,"['#크래프트', '#발포주', '#있는', '#맥주', '#정신', '#전주']"
451,풍정사계 동,"['#누룩', '#전통', '#대한', '#제조사']"
452,풍정사계 추(秋),"['#누룩', '#전통']"
453,풍정사계 춘(春),"['#누룩', '#전통', '#대한']"
454,풍정사계 하(夏),"['#누룩', '#전통']"
455,필 FEEL,"['#안동소', '#소주', '#전통', '#증류']"
456,하향주,
457,하향주 증류주,
458,한비 동충하초술,['#동충하초']
459,한비 무병장수술,
460,한비 쌀소주,['#제품']
461,한비 오가피술,['#오가피']
462,한산소곡주 700ml,['#소곡주']
463,한산소곡주 360ml,['#소곡주']
464,한산소곡주(살균주),['#소곡주']
465,한스오차드 사과와인,"['#사과', '#한국']"
466,한시울,"['#명세주가', '#백족산', '#청원']"
467,한주,"['#한주', '#한국', '#백로주', '#로주']"
468,해미읍성 딸기와인,"['#딸기', '#과실', '#비타민', '#와이너리', '#와인']"
469,해미읍성 매실와인,"['#매실', '#딸기', '#와인', '#와이너리', '#과실']"
470,해미읍성 모과와인,"['#모과', '#딸기', '#과실', '#와이너리', '#와인']"
471,해미읍성 살구와인,"['#살구', '#와이너리', '#과실', '#딸기']"
472,해방주 18.8%,"['#술을', '#영덕주조', '#지역', '#있는', '#방풍', '#제조']"
473,해방주 38%,"['#술을', '#영덕주조', '#지역', '#있는', '#방풍', '#제조']"
474,해창 생 막걸리 12도,['#막걸리']
475,해창 생 막걸리 6도,['#막걸리']
476,해창 생 막걸리 9도,['#막걸리']
477,해파랑,"['#영덕주조', '#지역', '#술을', '#방풍', '#제조']"
478,햇찹쌀이 하늘수,"['#찹쌀', '#막걸리', '#안양주조', '#양조장', '#저온']"
479,행운 막걸리,"['#대표', '#제품', '#맛을', '#성포양조장', '#수상하', '#거제', '#술을']"
480,행운주,"['#생산', '#대표', '#있는', '#거제도', '#성포양조장', '#제품', '#술을']"
481,향수 우리밀 막걸리,"['#막걸리', '#양조장', '#지역', '#생산하고', '#술을', '#옥천', '#복원']"
482,허니문와인,"['#미드', '#니문', '#아이비영농조합', '#벌꿀']"
483,허니비 와인,"['#와인', '#미드', '#벌꿀']"
484,호담 산양산삼 막걸리,"['#막걸리', '#산삼', '#산양', '#제품']"
485,호담 산양산삼주,"['#대상', '#산삼', '#산양산삼', '#수상', '#제품']"
486,호담,"['#생산', '#대상', '#산양산삼', '#대농바이오', '#수상', '#산삼', '#제품']"
487,호땅,"['#땅콩', '#술이다', '#있는', '#배정']"
488,호랑이 생 막걸리,"['#막걸리', '#전통주', '#랑이']"
489,호모루덴스,"['#빚은', '#술이', '#삼양주', '#모루덴스']"
490,혼디주,"['#제주', '#감귤', '#시트러스', '#제조']"
491,홍로,"['#은은한', '#설련주', '#연꽃', '#술이다', '#빚은', '#백련', '#증류']"
492,홍삼명주 375ml,"['#삼명주', '#그대로', '#삼을']"
493,홍삼명주 500ml,"['#삼명주', '#그대로', '#삼을']"
494,홍삼진심 인삼주 (1set),"['#인삼', '#진안']"
495,홍삼진심 인삼주 (2set),"['#인삼', '#진안']"
496,홍천강 탁주,"['#예술', '#전통주']"
497,화주,['#내국']
498,황금보리소주17,"['#만든', '#금보리', '#증류', '#소주', '#맛이', '#보리']"
499,황금보리소주25,"['#만든', '#금보리', '#증류', '#소주', '#맛이', '#보리']"
500,황금보리소주40,"['#만든', '#금보리', '#증류', '#소주', '#보리', '#맛이']"
501,황진이,"['#제품', '#진이', '#오미자', '#산수유']"
502,황칠주,"['#술이', '#칠나무']"
503,회곡 생 동동주,['#위생']
504,회곡 생 막걸리,['#위생']
505,흑돈주,"['#술이', '#칠나무', '#돈주']"
506,희양산막걸리 15%,"['#양산', '#막걸리']"
507,희양산막걸리 9%,"['#양산', '#막걸리']"
