,상품명,keyword
93,대윤 가야곡 왕주,"['#있는', '#전통', '#가야곡왕주', '#제품', '#제조']"
94,대잎 생동동주,"['#막걸리', '#제품', '#담양', '#수상하']"
95,대작 생막걸리,"['#철원', '#오대쌀', '#생막걸리', '#지역']"
96,대통대잎술 십오야,"['#약주', '#대통대잎술', '#대나무']"
97,도구 막걸리,"['#막걸리', '#밀막걸리', '#만들']"
98,도깨비술 11%,"['#도는', '#소비자', '#단맛']"
99,도깨비술 7%,"['#도는', '#소비자', '#단맛']"
100,도깨비술 9%,"['#도는', '#소비자', '#단맛']"
101,도로시 머루주,"['#와인', '#산머루농원', '#머루']"
102,도문대작 생막걸리,"['#방풍도가', '#도문대작', '#강릉', '#막걸리', '#전통']"
103,독산 53,"['#전통', '#오산', '#소주', '#양조장']"
104,동강더덕주,"['#더덕', '#강원도', '#영월', '#수상']"
105,동몽,"['#예술', '#전통']"
106,동정춘,"['#단맛이', '#동정춘']"
107,동학 1957,"['#청주', '#술을', '#약주']"
108,동해 동동주,"['#막걸리', '#동동주', '#포항', '#동명주', '#술을']"
109,두레앙 22,"['#포도', '#수상', '#거봉', '#증류주', '#와인', '#제품', '#생산']"
110,두레앙 와인,"['#와인', '#두레앙', '#포도', '#수상', '#있는']"
111,두레앙 증류주,"['#포도', '#거봉', '#증류주', '#와인', '#제품', '#수상', '#생산']"
112,두리향,"['#증류', '#전통', '#두리']"
113,두유노,"['#막걸리', '#맥주', '#있는', '#디오케', '#제조']"
114,라이스퐁당 13,"['#약주', '#라이스', '#양조장']"
115,라이스퐁당 17,"['#약주', '#라이스', '#양조장']"
116,레돔 내추럴 스파클링 로제와인,"['#좋은', '#와인', '#농부', '#그대로', '#스파클링', '#자연']"
117,레돔 시드르,"['#좋은', '#와인', '#사과', '#농부', '#자연']"
118,려(驪)증류소주 25도,"['#좋은', '#재료', '#증류', '#가치', '#개성', '#여주', '#고구마']"
119,로얄 안동소주 18년,"['#안동', '#숙성', '#소주', '#제품', '#수상']"
120,르깔롱,"['#있는', '#다양한', '#전통주', '#죽력', '#양조장', '#추성']"
121,마셔블랑,"['#제주', '#감귤', '#한라봉', '#제품', '#만든', '#시트러스', '#제조']"
122,마주 소곡주,"['#소곡주', '#있는', '#찹쌀', '#재료', '#사용', '#전통', '#한산']"
123,막시모40,"['#막시모', '#오미자', '#특별']"
124,만강에 비친 달,"['#예술', '#전통주']"
125,맑은 문희주,"['#숙성', '#문경', '#전통']"
126,맑은내일 Winery 단감명작,
127,맑은내일 발효막걸리,"['#있는', '#전통', '#막걸리', '#창원', '#양조']"
128,맑은내일 우포,"['#있는', '#아침', '#전통', '#우포의', '#창원', '#양조']"
129,맑은술 해밀,"['#전통주', '#약주', '#한국']"
130,매실 막걸리,['#막걸리']
131,매실원주 15도,"['#매실', '#수상', '#국내', '#주류', '#제품', '#과실', '#주세']"
132,매실향기 담은 술,"['#매실', '#명세주가', '#백족산', '#청원']"
133,머루 이야기,"['#머루', '#과실주']"
134,머르드 서 드라이,"['#와인', '#산머루농원', '#머루']"
135,머르드 서 스위트,"['#와인', '#산머루농원', '#머루']"
136,메로니아,"['#있는', '#막걸리']"
137,메밀로,"['#좋은', '#떼루아', '#메밀', '#누룩', '#빚어', '#와인', '#자연']"
138,면천두견주 360ml,"['#진달래', '#면천']"
139,면천두견주 700ml,"['#진달래', '#면천']"
140,면천두견주 900ml,"['#진달래', '#면천']"
141,명술,"['#생산', '#대상', '#산양산삼', '#대농바이오', '#산삼', '#수상', '#제품']"
142,명인 홍삼주,"['#삼주', '#인삼', '#수상', '#제조', '#금산']"
143,명작복분자,"['#명작', '#복분자', '#수상']"
144,명품 진도홍주,"['#지초', '#진도주', '#전통']"
145,모월 로,"['#증류', '#모월']"
146,모월 연,['#모월']
147,모월 인,"['#모월', '#증류']"
148,모월 청,['#모월']
149,모을동주 소주,"['#철원', '#오대쌀', '#소주']"
150,모을동주 약주,"['#철원', '#약주', '#오대쌀']"
151,무주 구천동 머루와인,"['#있는', '#제조사', '#수상', '#제품', '#덕유양조', '#한국']"
152,무주 구천동 산머루주,"['#있는', '#제조사', '#수상', '#덕유양조', '#제품', '#한국']"
153,문경바람 백자 25%,"['#문경', '#사과']"
154,문경바람 백자 40%,"['#문경', '#사과', '#증류주']"
155,문경바람 오크,"['#문경', '#사과', '#오크']"
156,문배술 헤리티지 23도,['#문배술']
157,문희 '문경오미자 수제 전통주',"['#문경주조', '#숙성', '#전통']"
158,문희 (햇찹쌀수제전통주) 700ml ,"['#문경주조', '#숙성', '#전통']"
159,문희 (햇찹쌀수제전통주) 500ml ,"['#문경주조', '#숙성', '#전통']"
160,미르25,"['#전통', '#누룩']"
161,미르40,"['#전통', '#누룩']"
162,미생 막걸리,"['#있는', '#막걸리', '#김포금쌀', '#양조']"
163,미소 생막걸리,"['#있는', '#양조장', '#울진', '#지역', '#막걸']"
164,미소 아이스,"['#와인', '#한국', '#품종', '#포도']"
165,미인약주,"['#있는', '#술을', '#단맛', '#신맛']"
166,미인탁주,"['#막걸리', '#술을', '#단맛', '#신맛']"
167,민속주 안동소주 600ml,"['#민속주', '#안동', '#소주', '#신라', '#전통', '#증류']"
168,민속주 안동소주 800ml,"['#민속주', '#안동', '#소주', '#신라', '#전통', '#증류']"
169,민속주 안동소주 400ml,"['#민속주', '#안동', '#신라', '#소주', '#전통', '#증류']"
170,바나나 주,"['#양조장', '#있는', '#세종']"
171,바랑 탁,"['#술을', '#있는', '#빚는', '#술이', '#금계당', '#안동']"
172,밤꽃향기,"['#공주', '#사곡']"
173,방문주 약주,"['#빚는', '#술을', '#전통']"
174,방문주 탁주,"['#빚는', '#술을', '#빚기', '#전통']"
175,배꽃담은 연 생막걸리,"['#이주', '#탁주']"
176,배도가 로아 19 레드,
177,배도가 로아 40도 옐로우,"['#배정도가에서', '#있는', '#출시', '#제품', '#증류', '#배도']"
178,백년향,"['#백년', '#막걸리', '#삼양주', '#제품', '#빚는']"
179,백련 맑은술,"['#전통', '#신평양조장', '#이어']"
180,백련 생막걸리 snow,"['#신평양조장', '#전통']"
181,백운 복분자 와인,['#수상']
182,백운 복분자주,"['#복분자주', '#수상']"
183,백이주,['#마늘']
184,백자주,['#백자주']
185,뱅꼬레 레드와인,"['#와인', '#한국']"
186,뱅꼬레 로제와인,"['#로제', '#와인', '#한국']"
187,뱅꼬레 아이스와인,"['#아이스', '#와인', '#한국']"
188,뱅꼬레 화이트와인,"['#이트', '#한국', '#와인']"
189,베베마루 캠벨로제 스위트,"['#와인', '#수상', '#생산', '#한국와', '#포도', '#영동']"
190,베베마루 캠벨로제,"['#와인', '#수상', '#한국와', '#생산', '#포도', '#영동']"
191,별바랑,"['#술을', '#있는', '#술이', '#빚는', '#금계당']"
192,병영설성 동동주,"['#동동주', '#막걸리', '#제품', '#전통']"
193,병영설성 생막걸리,"['#막걸리', '#전통']"
194,병영설성사또,"['#증류주', '#병영설성사또는']"
195,병영소주,
196,복분자 아락,"['#아락', '#대한민국', '#우리', '#주류품평', '#증류', '#지역', '#세계']"
197,복분자음,"['#대한민국', '#복분자음', '#제품이', '#주류품평']"
198,복분자주 360,"['#복분자', '#내장산']"
199,복순도가 손 막걸리,"['#막걸리', '#복순도가', '#탄산']"
200,복숭아와인,"['#복숭아', '#와인']"
201,볼빨간막걸리 10,"['#벗드림', '#막걸리', '#양조장']"
202,볼빨간막걸리 7,"['#벗드림', '#막걸리', '#양조장']"
203,봉하쌀 생막걸리,"['#생막걸리', '#막걸리', '#제품', '#수상하']"
204,부안 참뽕 막걸리,"['#있는', '#전통주', '#제품', '#부안', '#막걸', '#참뽕', '#제조']"
205,부안 참뽕 와인,"['#전통주', '#참뽕', '#부안', '#제조', '#와인']"
206,부자 10,"['#있는', '#막걸리', '#배정']"
207,불소곡주,['#소곡주']
208,붉은 원숭이,"['#국쌀', '#붉은색']"
209,블루베리 이야기,"['#블루베리', '#과실주', '#제조', '#산머루']"
210,사과와인,"['#사과', '#와인']"
211,산내울 복분자주,"['#복분자', '#생산', '#리큐르', '#수상', '#제조']"
212,산내울 사과애주,"['#생산', '#재배', '#수상', '#제조']"
213,산내울 오미자주,"['#오미자', '#가지', '#수상']"
214,산막 생유 막걸리,"['#있는', '#대전', '#막걸리', '#대표', '#제품']"
215,산막대덕주,"['#산막대덕주', '#술을']"
216,산정호수 동정춘막걸리,"['#동정춘', '#단맛이', '#자연', '#대한']"
217,삼선,"['#좋은', '#와인', '#떼루아', '#삼선', '#자연', '#누룩', '#만들']"
218,삼양춘 생약주,"['#마시', '#자연', '#빚는']"
219,삼양춘 생탁주,"['#막걸리', '#삼양', '#빚는']"
220,삼양춘 청주,"['#삼양춘', '#청주', '#특징', '#빚어', '#전통']"
221,생 청주 막걸리,"['#막걸리', '#양조장']"
222,샤토미소 랑,"['#포도', '#와인', '#이트와', '#양조']"
223,샤토미소 레드 프리미엄 드라이,"['#와인', '#도란원', '#한국와인']"
224,샤토미소 스위트,"['#와인', '#한국']"
225,샤토미소 스위트 로제,"['#와인', '#한국']"
226,샤토미소 영동,"['#와인', '#영동', '#도란원', '#브랜디', '#포도', '#증류']"
227,샹스프랑보아즈,"['#복분자', '#고창']"
228,서울의 밤,"['#수상', '#매실', '#국내', '#원료', '#주류', '#제품']"
229,서주 16%,"['#감자', '#강원도']"
230,석로주,['#석이']
231,석탄주 약주,"['#석탄', '#복원']"
232,석탄주 탁주,"['#석탄', '#복원']"
